case,n_snapshots,n_particles,dt_documented,dt_estimated,dt_rel_error,gravity_magnitude,gravity_axis,n_episodes,median_episode_snapshots,fraction_single_snapshot,fraction_interior_peak,rho_t,births,persisting,dv_free_mean,dv_contact_mean,wall_2faces,wall_3faces,max_penetration_over_R
two_spheres/1x,101,2,0.0001,1.000300e-04,2.997e-04,0.0000,x,1,11,0.0,1.0,0.0909,1,10,0.0,0.11194266140932636,0,0,0.1948
two_spheres/2x,101,2,0.0001,1.002942e-04,2.942e-03,0.0000,x,1,11,0.0,1.0,0.0909,1,10,0.0,0.2580930718004122,0,0,0.4518
two_spheres/4x,101,2,0.0001,1.000249e-04,2.486e-04,0.0000,x,1,11,0.0,1.0,0.0909,1,10,0.0,0.3800996467371416,0,0,0.9946
one_sphere_wall/10,201,1,0.0001,1.000624e-04,6.243e-04,0.0000,x,1,16,0.0,1.0,0.0625,1,15,0.0,0.22113616074763087,0,0,0.3801
one_sphere_wall/30,201,1,0.0001,1.000755e-04,7.553e-04,0.0000,x,1,16,0.0,1.0,0.0625,1,15,0.0,0.1948744819940548,0,0,0.3361
one_sphere_wall/45,201,1,0.0001,1.000646e-04,6.456e-04,0.0000,x,1,16,0.0,1.0,0.0625,1,15,0.0,0.15877117457223755,0,0,0.2731
one_sphere_wall/60,201,1,0.0001,1.000701e-04,7.012e-04,0.0000,x,1,16,0.0,1.0,0.0625,1,15,0.0,0.11227454009080114,0,0,0.1940
one_sphere_wall/90,201,1,0.0001,1.000592e-04,5.922e-04,0.0000,x,1,16,0.0,1.0,0.0625,1,15,0.0,0.22376470588235295,0,0,0.3871
sixty_gravity/CASE01,1501,60,0.0001,1.000091e-04,9.063e-05,9.8068,y,2035,4,0.004914004914004914,0.7194818136522172,0.2500,2035,6793,0.0009807066767368745,0.027029462172503328,30,0,0.0264
sixty_gravity/CASE02,1501,60,0.0001,1.000073e-04,7.312e-05,9.8070,y,1518,4.0,0.0013175230566534915,0.7678452301534356,0.2500,1518,5080,0.0009806985089568438,0.08385633246738976,32,0,0.0896
sixty_gravity/CASE06,1501,60,0.0001,1.000150e-04,1.496e-04,9.8065,y,1831,4,0.007646095030038231,0.7398190045248869,0.2500,1831,6071,0.0009806507899267742,0.11453577700115138,58,0,0.1476
sixty_gravity/CASE07,1501,60,0.0001,1.000301e-04,3.013e-04,9.8069,y,1709,4,0.0023405500292568754,0.7422985781990521,0.2500,1709,5725,0.0009807110531630976,0.20366584708190058,21,0,0.2568
sixty_homogeneous/CASE01,1501,60,0.0001,1.000045e-04,4.518e-05,0.0000,y,1076,12.0,0.0,0.8519553072625698,0.0833,1076,15436,4.181873480165841e-08,0.04722888720427537,226,0,0.3984
sixty_homogeneous/CASE06,1501,60,0.0001,1.000414e-04,4.136e-04,0.0001,z,1156,12.0,0.0,0.8632034632034632,0.0833,1156,17525,7.676174049584865e-09,0.051190874664637495,354,34,0.4460
rotating_cylinder/CASE08,120,2073,0.001,9.991557e-04,8.443e-04,5.1713,y,39333,1,0.7746675819286604,0.46267789718268953,1.0000,39333,16767,0.035202287634214485,0.11323200224661446,0,0,0.0522
